freebase_id remap_id
movie::1 0
movie::2 1
movie::3 2
movie::4 3
movie::5 4
movie::6 5
movie::7 6
movie::8 7
movie::9 8
movie::10 9
movie::11 10
movie::12 11
movie::13 12
movie::14 13
movie::15 14
movie::16 15
movie::17 16
movie::18 17
movie::19 18
movie::20 19
movie::21 20
movie::22 21
movie::23 22
movie::24 23
movie::25 24
movie::26 25
movie::27 26
movie::28 27
movie::29 28
movie::30 29
movie::31 30
movie::32 31
movie::33 32
movie::34 33
movie::35 34
movie::36 35
movie::37 36
movie::38 37
movie::39 38
movie::40 39
movie::41 40
movie::42 41
movie::43 42
movie::44 43
movie::45 44
movie::46 45
movie::47 46
movie::48 47
movie::49 48
movie::50 49
movie::52 50
movie::53 51
movie::54 52
movie::55 53
movie::56 54
movie::57 55
movie::58 56
movie::59 57
movie::60 58
movie::61 59
movie::62 60
movie::63 61
movie::64 62
movie::65 63
movie::66 64
movie::67 65
movie::68 66
movie::69 67
movie::70 68
movie::71 69
movie::72 70
movie::73 71
movie::74 72
movie::75 73
movie::76 74
movie::77 75
movie::78 76
movie::79 77
movie::80 78
movie::81 79
movie::82 80
movie::83 81
movie::84 82
movie::85 83
movie::86 84
movie::87 85
movie::88 86
movie::89 87
movie::90 88
movie::92 89
movie::93 90
movie::94 91
movie::95 92
movie::96 93
movie::97 94
movie::99 95
movie::100 96
movie::101 97
movie::102 98
movie::103 99
movie::104 100
movie::105 101
movie::106 102
movie::107 103
movie::108 104
movie::110 105
movie::111 106
movie::112 107
movie::113 108
movie::114 109
movie::116 110
movie::117 111
movie::118 112
movie::119 113
movie::121 114
movie::122 115
movie::123 116
movie::124 117
movie::125 118
movie::126 119
movie::128 120
movie::129 121
movie::130 122
movie::131 123
movie::132 124
movie::134 125
movie::135 126
movie::136 127
movie::137 128
movie::138 129
movie::139 130
movie::140 131
movie::141 132
movie::144 133
movie::145 134
movie::146 135
movie::147 136
movie::148 137
movie::149 138
movie::150 139
movie::151 140
movie::152 141
movie::153 142
movie::154 143
movie::155 144
movie::156 145
movie::157 146
movie::158 147
movie::159 148
movie::160 149
movie::161 150
movie::162 151
movie::163 152
movie::164 153
movie::165 154
movie::166 155
movie::167 156
movie::168 157
movie::169 158
movie::170 159
movie::171 160
movie::172 161
movie::173 162
movie::174 163
movie::175 164
movie::176 165
movie::177 166
movie::178 167
movie::179 168
movie::180 169
movie::181 170
movie::182 171
movie::183 172
movie::184 173
movie::185 174
movie::186 175
movie::187 176
movie::188 177
movie::189 178
movie::190 179
movie::191 180
movie::192 181
movie::193 182
movie::194 183
movie::195 184
movie::196 185
movie::197 186
movie::198 187
movie::199 188
movie::200 189
movie::201 190
movie::202 191
movie::203 192
movie::204 193
movie::205 194
movie::206 195
movie::207 196
movie::208 197
movie::209 198
movie::210 199
movie::211 200
movie::212 201
movie::213 202
movie::214 203
movie::215 204
movie::216 205
movie::217 206
movie::218 207
movie::219 208
movie::220 209
movie::222 210
movie::223 211
movie::224 212
movie::225 213
movie::227 214
movie::228 215
movie::229 216
movie::230 217
movie::231 218
movie::232 219
movie::233 220
movie::234 221
movie::235 222
movie::236 223
movie::237 224
movie::238 225
movie::239 226
movie::240 227
movie::241 228
movie::242 229
movie::245 230
movie::246 231
movie::247 232
movie::248 233
movie::249 234
movie::250 235
movie::251 236
movie::252 237
movie::253 238
movie::254 239
movie::255 240
movie::256 241
movie::257 242
movie::258 243
movie::259 244
movie::260 245
movie::261 246
movie::262 247
movie::263 248
movie::264 249
movie::265 250
movie::266 251
movie::267 252
movie::268 253
movie::269 254
movie::270 255
movie::271 256
movie::272 257
movie::273 258
movie::274 259
movie::275 260
movie::276 261
movie::277 262
movie::278 263
movie::279 264
movie::280 265
movie::281 266
movie::282 267
movie::283 268
movie::287 269
movie::288 270
movie::289 271
movie::290 272
movie::291 273
movie::292 274
movie::293 275
movie::294 276
movie::295 277
movie::296 278
movie::297 279
movie::298 280
movie::299 281
movie::300 282
movie::301 283
movie::302 284
movie::303 285
movie::304 286
movie::305 287
movie::306 288
movie::307 289
movie::308 290
movie::309 291
movie::310 292
movie::312 293
movie::313 294
movie::314 295
movie::315 296
movie::316 297
movie::317 298
movie::318 299
movie::319 300
movie::320 301
movie::321 302
movie::322 303
movie::324 304
movie::325 305
movie::326 306
movie::327 307
movie::328 308
movie::329 309
movie::330 310
movie::331 311
movie::332 312
movie::333 313
movie::334 314
movie::335 315
movie::336 316
movie::337 317
movie::338 318
movie::339 319
movie::340 320
movie::341 321
movie::342 322
movie::343 323
movie::344 324
movie::345 325
movie::346 326
movie::347 327
movie::348 328
movie::349 329
movie::350 330
movie::351 331
movie::352 332
movie::353 333
movie::354 334
movie::355 335
movie::356 336
movie::357 337
movie::358 338
movie::359 339
movie::360 340
movie::361 341
movie::362 342
movie::363 343
movie::364 344
movie::365 345
movie::366 346
movie::367 347
movie::368 348
movie::369 349
movie::370 350
movie::371 351
movie::372 352
movie::373 353
movie::374 354
movie::375 355
movie::376 356
movie::377 357
movie::378 358
movie::379 359
movie::380 360
movie::381 361
movie::382 362
movie::383 363
movie::384 364
movie::385 365
movie::386 366
movie::387 367
movie::388 368
movie::389 369
movie::390 370
movie::391 371
movie::392 372
movie::393 373
movie::394 374
movie::396 375
movie::397 376
movie::398 377
movie::401 378
movie::404 379
movie::405 380
